MCC;Название;Группа;Обновлено;;;;;
742;Ветеринарные услуги;Контрактные услуги;31.01.2018;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, ";,';"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 742,'Ветеринарные услуги ');";" ');"
763;Сельскохозяйственные кооперативы;Контрактные услуги;31.01.2018;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 763,'Сельскохозяйственные кооперативы ');";
780;Услуги садоводства и ландшафтного дизайна;Контрактные услуги;31.01.2018;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 780,'Услуги садоводства и ландшафтного дизайна ');";
1520;Генеральные подрядчики – жилое и коммерческое строительство;Контрактные услуги;31.01.2018;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 1520,'Генеральные подрядчики – жилое и коммерческое строительство ');";
1711;Генеральные подрядчики по вентиляции, теплоснабжению и водопроводу;Контрактные услуги;31.01.2018;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 1711,'Генеральные подрядчики по вентиляции, теплоснабжению и водопроводу ');";
1731;Подрядчики по электричеству;Контрактные услуги;31.01.2018;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 1731,'Подрядчики по электричеству ');";
1740;Изоляция, мозаика, штукатурные работы, каменная кладка, облицовка плиткой, кафелем;Контрактные услуги;31.01.2018;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 1740,'Изоляция, мозаика, штукатурные работы, каменная кладка, облицовка плиткой, кафелем ');";
1750;Столярные работы;Контрактные услуги;31.01.2018;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 1750,'Столярные работы ');";
1761;Кровельные и сайдинговые работы, обработка листового металла;Контрактные услуги;31.01.2018;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 1761,'Кровельные и сайдинговые работы, обработка листового металла ');";
1771;Подрядчики бетонных работ;Контрактные услуги;31.01.2018;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 1771,'Подрядчики бетонных работ ');";
1799;Контрактные услуги – нигде более не классифицированные;Контрактные услуги;31.01.2018;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 1799,'Контрактные услуги – нигде более не классифицированные ');";
2741;Различные издательства/ печатное дело;Оптовые поставщики и производители;01.01.2018;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 2741,'Различные издательства/ печатное дело ');";
2791;Набор текстов, шрифтов, таблиц и относящиеся к этому услуги;Оптовые поставщики и производители;01.01.2018;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 2791,'Набор текстов, шрифтов, таблиц и относящиеся к этому услуги ');";
2842;Специальная обработка, полировка, санитария;Оптовые поставщики и производители;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 2842,'Специальная обработка, полировка, санитария ');";
3000;United Airlines (UNITED);Авиалинии, авиакомпании;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3000,'United Airlines (UNITED) ');";
3001;American Airlines (AMERICAN);Авиалинии, авиакомпании;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3001,'American Airlines (AMERICAN) ');";
3002;Pan American (PAN AM);Авиалинии, авиакомпании;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3002,'Pan American (PAN AM) ');";
3003;Eurofly (EUROFLY);Авиалинии, авиакомпании;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3003,'Eurofly (EUROFLY) ');";
3004;Dragonair (DRAGONAIR);Авиалинии, авиакомпании;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3004,'Dragonair (DRAGONAIR) ');";
3005;British Airways (BRITISH A);Авиалинии, авиакомпании;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3005,'British Airways (BRITISH A) ');";
3006;Japan Air Lines (JAL);Авиалинии, авиакомпании;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3006,'Japan Air Lines (JAL) ');";
3007;Air France (AIR FRAN);Авиалинии, авиакомпании;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3007,'Air France (AIR FRAN) ');";
3008;Lufthansa (LUFTHAN);Авиалинии, авиакомпании;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3008,'Lufthansa (LUFTHAN) ');";
3009;Air Canada (AIR CAN);Авиалинии, авиакомпании;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3009,'Air Canada (AIR CAN) ');";
3010;Royal Dutch Airlines (KLM);Авиалинии, авиакомпании;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3010,'Royal Dutch Airlines (KLM) ');";
3011;Aeroflot (AEROFLOT);Авиалинии, авиакомпании;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3011,'Aeroflot (AEROFLOT) ');";
3012;Qantas (QANTAS);Авиалинии, авиакомпании;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3012,'Qantas (QANTAS) ');";
3013;Alitalia (ALITALIA);Авиалинии, авиакомпании;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3013,'Alitalia (ALITALIA) ');";
3014;Saudi Arabian Airlines (SAUDI AI);Авиалинии, авиакомпании;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3014,'Saudi Arabian Airlines (SAUDI AI) ');";
3015;Swiss International Air Lines (SWISS);Авиалинии, авиакомпании;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3015,'Swiss International Air Lines (SWISS) ');";
3016;Scandinavian Airline System (SAS);Авиалинии, авиакомпании;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3016,'Scandinavian Airline System (SAS) ');";
3017;South African Airways (SAFRICAN);Авиалинии, авиакомпании;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3017,'South African Airways (SAFRICAN) ');";
3018;Varig (Brazil) (VARIG);Авиалинии, авиакомпании;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3018,'Varig (Brazil) (VARIG) ');";
3019;Авиалинии, авиакомпании;Авиалинии, авиакомпании;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3019,'Авиалинии, авиакомпании ');";
3020;Air India (AIR-INDI);Авиалинии, авиакомпании;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3020,'Air India (AIR-INDI) ');";
3021;Air Algerie (AIRALGER);Авиалинии, авиакомпании;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3021,'Air Algerie (AIRALGER) ');";
3022;Philippine Airlines (PAL AIR);Авиалинии, авиакомпании;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3022,'Philippine Airlines (PAL AIR) ');";
3023;Mexicana (MEXICANA);Авиалинии, авиакомпании;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3023,'Mexicana (MEXICANA) ');";
3024;Pakistan International (PAKISTAN);Авиалинии, авиакомпании;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3024,'Pakistan International (PAKISTAN) ');";
3025;Air New Zealand Limited International (AIR NZ);Авиалинии, авиакомпании;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3025,'Air New Zealand Limited International (AIR NZ) ');";
3026;Emirates Airlines (EMIRATES);Авиалинии, авиакомпании;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3026,'Emirates Airlines (EMIRATES) ');";
3027;Union de Transports Aeriens (UTAAIR);Авиалинии, авиакомпании;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3027,'Union de Transports Aeriens (UTAAIR) ');";
3028;Air Malta (AIRMALTA);Авиалинии, авиакомпании;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3028,'Air Malta (AIRMALTA) ');";
3029;SN Brussels Airlines (SNBRU AIR);Авиалинии, авиакомпании;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3029,'SN Brussels Airlines (SNBRU AIR) ');";
3030;Aerolineas Argentinas (AERO ARG);Авиалинии, авиакомпании;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3030,'Aerolineas Argentinas (AERO ARG) ');";
3031;Olympic Airways (OLYMPICA);Авиалинии, авиакомпании;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3031,'Olympic Airways (OLYMPICA) ');";
3032;El Al (EL AL);Авиалинии, авиакомпании;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3032,'El Al (EL AL) ');";
3033;Ansett Airlines (ANSETT);Авиалинии, авиакомпании;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3033,'Ansett Airlines (ANSETT) ');";
3034;Etihad Airways (ETIHADAIR);Авиалинии, авиакомпании;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3034,'Etihad Airways (ETIHADAIR) ');";
3035;Tap (Portugal) (TAP);Авиалинии, авиакомпании;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3035,'Tap (Portugal) (TAP) ');";
3036;VASP (Brazil) (VASP);Авиалинии, авиакомпании;06.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3036,'VASP (Brazil) (VASP) ');";
3037;EgyptAir (EGYPTAIR);Авиалинии, авиакомпании;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3037,'EgyptAir (EGYPTAIR) ');";
3038;Kuwait Airways (KUWAIT);Авиалинии, авиакомпании;06.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3038,'Kuwait Airways (KUWAIT) ');";
3039;Avianca (AVIANCA);Авиалинии, авиакомпании;06.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3039,'Avianca (AVIANCA) ');";
3040;Gulf Air (Bahrain) (GULF AIR);Авиалинии, авиакомпании;06.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3040,'Gulf Air (Bahrain) (GULF AIR) ');";
3041;Balkan—Bulgarian Airlines (BALKAN);Авиалинии, авиакомпании;06.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3041,'Balkan—Bulgarian Airlines (BALKAN) ');";
3042;Finnair (FINNAIR);Авиалинии, авиакомпании;06.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3042,'Finnair (FINNAIR) ');";
3043;Aer Lingus (AERLING);Авиалинии, авиакомпании;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3043,'Aer Lingus (AERLING) ');";
3044;Air Lanka (AIR LANKA);Авиалинии, авиакомпании;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3044,'Air Lanka (AIR LANKA) ');";
3045;Nigeria Airways (NIGERIA);Авиалинии, авиакомпании;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3045,'Nigeria Airways (NIGERIA) ');";
3046;Cruzeiro do Sul (Brazil) (CRUZEIRO);Авиалинии, авиакомпании;06.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3046,'Cruzeiro do Sul (Brazil) (CRUZEIRO) ');";
3047;THY (Turkey) (THY);Авиалинии, авиакомпании;06.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3047,'THY (Turkey) (THY) ');";
3048;Royal Air Maroc (AIRMARO);Авиалинии, авиакомпании;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3048,'Royal Air Maroc (AIRMARO) ');";
3049;Tunis Air (TUNIS AI);Авиалинии, авиакомпании;06.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3049,'Tunis Air (TUNIS AI) ');";
3050;Icelandair (ICELANDA);Авиалинии, авиакомпании;06.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3050,'Icelandair (ICELANDA) ');";
3051;Austrian Airlines (AUSTRIAN);Авиалинии, авиакомпании;06.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3051,'Austrian Airlines (AUSTRIAN) ');";
3052;LAN Airlines (LAN AIR);Авиалинии, авиакомпании;06.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3052,'LAN Airlines (LAN AIR) ');";
3053;AVIACO (Spain) (AVIACO);Авиалинии, авиакомпании;06.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3053,'AVIACO (Spain) (AVIACO) ');";
3054;LADECO (Chile) (LADECO);Авиалинии, авиакомпании;06.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3054,'LADECO (Chile) (LADECO) ');";
3055;LAB (Bolivia) (LAB);Авиалинии, авиакомпании;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3055,'LAB (Bolivia) (LAB) ');";
3056;Jet Airways (JET AIR);Авиалинии, авиакомпании;06.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3056,'Jet Airways (JET AIR) ');";
3057;Virgin America (VIR AMER);Авиалинии, авиакомпании;06.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3057,'Virgin America (VIR AMER) ');";
3058;Delta (DELTA);Авиалинии, авиакомпании;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3058,'Delta (DELTA) ');";
3059;DBA Airlines (DBA AIR);Авиалинии, авиакомпании;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3059,'DBA Airlines (DBA AIR) ');";
3060;Northwest Airlines (NWA AIR);Авиалинии, авиакомпании;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3060,'Northwest Airlines (NWA AIR) ');";
3061;Continental (CONTINEN);Авиалинии, авиакомпании;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3061,'Continental (CONTINEN) ');";
3062;Hapag-Lloyd Express (HLX);Авиалинии, авиакомпании;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3062,'Hapag-Lloyd Express (HLX) ');";
3063;U.S. Airways (USAIRWYS);Авиалинии, авиакомпании;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3063,'U.S. Airways (USAIRWYS) ');";
3064;Adria Airways (ADRIA AIR);Авиалинии, авиакомпании;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3064,'Adria Airways (ADRIA AIR) ');";
3065;Air Inter (AIRINTER);Авиалинии, авиакомпании;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3065,'Air Inter (AIRINTER) ');";
3066;Southwest Airlines (SOUTHWES);Авиалинии, авиакомпании;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3066,'Southwest Airlines (SOUTHWES) ');";
3067;Vanguard Airlines (VANGUARD);Авиалинии, авиакомпании;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3067,'Vanguard Airlines (VANGUARD) ');";
3068;Air Astana (AIRSTANA);Авиалинии, авиакомпании;06.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3068,'Air Astana (AIRSTANA) ');";
3069;Sun Country Airlines (SUNCNTRY);Авиалинии, авиакомпании;06.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3069,'Sun Country Airlines (SUNCNTRY) ');";
3071;Air British Columbia (AIR B R C);Авиалинии, авиакомпании;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3071,'Air British Columbia (AIR B R C) ');";
3072;Cebu Pacific (CEBU PAC);Авиалинии, авиакомпании;06.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3072,'Cebu Pacific (CEBU PAC) ');";
3073;Air Cal;Авиалинии, авиакомпании;14.10.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3073,'Air Cal ');";
3075;Singapore Airlines (SINGAPOR);Авиалинии, авиакомпании;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3075,'Singapore Airlines (SINGAPOR) ');";
3076;Aeromexico (AEROMEXI);Авиалинии, авиакомпании;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3076,'Aeromexico (AEROMEXI) ');";
3077;Thai Airways (THAIAIRW);Авиалинии, авиакомпании;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3077,'Thai Airways (THAIAIRW) ');";
3078;China Airlines (CHINAAIR);Авиалинии, авиакомпании;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3078,'China Airlines (CHINAAIR) ');";
3079;Jetstar Airways (JETSTAR);Авиалинии, авиакомпании;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3079,'Jetstar Airways (JETSTAR) ');";
3081;Авиалинии, авиакомпании;Авиалинии, авиакомпании;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3081,'Авиалинии, авиакомпании ');";
3082;Korean Airlines (KOREAN);Авиалинии, авиакомпании;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3082,'Korean Airlines (KOREAN) ');";
3083;Air Afrique (AIR AFRIQ);Авиалинии, авиакомпании;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3083,'Air Afrique (AIR AFRIQ) ');";
3084;Eva Airways (EVA AIR);Авиалинии, авиакомпании;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3084,'Eva Airways (EVA AIR) ');";
3085;Midwest Express Airlines (MIDWEST);Авиалинии, авиакомпании;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3085,'Midwest Express Airlines (MIDWEST) ');";
3086;Carnival Airlines;Авиалинии, авиакомпании;14.10.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3086,'Carnival Airlines ');";
3087;Metro Airlines (METROAI);Авиалинии, авиакомпании;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3087,'Metro Airlines (METROAI) ');";
3088;Croatia Air (CROATIA);Авиалинии, авиакомпании;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3088,'Croatia Air (CROATIA) ');";
3089;Transaero (TRANSAERO);Авиалинии, авиакомпании;16.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3089,'Transaero (TRANSAERO) ');";
3090;Uni Airways (UNIAIR);Авиалинии, авиакомпании;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3090,'Uni Airways (UNIAIR) ');";
